station;heure;temperature;humidity
parc des rives;2025-08-09 16:00:00;35.43724727244984;30.699015793087664
parc des rives;2025-08-09 17:00:00;35.72243839169909;30.576333257038222
parc des rives;2025-08-09 18:00:00;34.90469469240355;31.955443656061647
parc des rives;2025-08-09 19:00:00;31.90280003051804;37.86678873884184
parc des rives;2025-08-09 20:00:00;30.041580834668498;43.86778057526513
parc des rives;2025-08-09 21:00:00;27.886180412502227;51.287098496986346
parc des rives;2025-08-09 22:00:00;26.512296228478423;51.19452709747972
parc des rives;2025-08-09 23:00:00;24.856247297881538;59.24874748861931
parc des rives;2025-08-10 00:00:00;23.37003128099489;66.21499961852444
parc des rives;2025-08-10 01:00:00;21.501424175377025;74.0207522697795
parc des rives;2025-08-10 02:00:00;21.10452429999237;71.88006408789197
parc des rives;2025-08-10 03:00:00;20.5587980977086;72.65685002924646
parc des rives;2025-08-10 04:00:00;19.28816662851911;79.6604867627985
parc des rives;2025-08-10 05:00:00;18.70113934030162;81.50352229088782
parc des rives;2025-08-10 06:00:00;18.27032628875156;83.2275374481829
parc des rives;2025-08-10 07:00:00;19.61305663640294;79.18542254774802
parc des rives;2025-08-10 08:00:00;22.221789883268485;74.58487830930036
parc des rives;2025-08-10 09:00:00;23.650593830268814;73.95869891406628
parc des rives;2025-08-10 10:00:00;24.668434170036367;70.32806897077897
parc des rives;2025-08-10 11:00:00;25.793977772691438;67.35154243279673
parc des rives;2025-08-10 12:00:00;26.61287861448081;68.64194705119401
parc des rives;2025-08-10 13:00:00;27.30983443961242;67.13435568780041
parc des rives;2025-08-10 14:00:00;27.82988097962921;67.35599298084992
parc des rives;2025-08-10 15:00:00;28.027707840594086;65.6509244424099
parc des rives;2025-08-10 16:00:00;28.389537397319497;63.54187329925485
parc des rives;2025-08-10 17:00:00;27.985961699855032;66.75181200885024
parc des rives;2025-08-10 18:00:00;27.61603214567279;71.81328043539075
parc des rives;2025-08-10 19:00:00;26.772564278629737;73.61623559929808
parc des rives;2025-08-10 20:00:00;25.890999720251262;75.9484753693955
parc des rives;2025-08-10 21:00:00;25.584802014190895;72.2106507972839
parc des rives;2025-08-10 22:00:00;25.194934004730296;62.30869001297017
parc des rives;2025-08-10 23:00:00;24.512397955291064;61.62233920805677
parc des rives;2025-08-11 00:00:00;23.958037689784085;67.51354238193332
parc des rives;2025-08-11 01:00:00;23.64124767935709;63.844256249841045
parc des rives;2025-08-11 02:00:00;23.36264337122657;65.105414409603
parc des rives;2025-08-11 03:00:00;22.586690318150602;64.75967040512704
parc des rives;2025-08-11 04:00:00;22.04127565423056;67.3640039673457
parc des rives;2025-08-11 05:00:00;21.312720937921213;69.45347269906665
parc des rives;2025-08-11 06:00:00;21.0009155413138;69.74166475928892
parc des rives;2025-08-11 07:00:00;21.131138577350523;69.47814145113298
parc des rives;2025-08-11 08:00:00;21.589322499427787;66.28824292362859
parc des rives;2025-08-11 09:00:00;22.163665725693647;61.98011240812798
parc des rives;2025-08-11 10:00:00;23.070019836728463;60.72899977111467
parc des rives;2025-08-11 11:00:00;24.009753058162303;58.52063782711528
parc des rives;2025-08-11 12:00:00;24.98865110246433;58.53933012893874
parc des rives;2025-08-11 13:00:00;26.12420843823911;62.43584852877597
parc des rives;2025-08-11 14:00:00;26.81982909895476;63.027389944304566
parc des rives;2025-08-11 15:00:00;28.00456499071743;59.603519747717506
parc des rives;2025-08-11 16:00:00;27.893746344192667;64.77149614709697
parc des rives;2025-08-11 17:00:00;28.18970778973068;64.30457007705806
parc des rives;2025-08-11 18:00:00;27.959792477302205;65.71145189593346
parc des rives;2025-08-11 19:00:00;27.433559675491466;66.09852241804633
parc des rives;2025-08-11 20:00:00;26.466900638335748;73.45082780193789
parc des rives;2025-08-11 21:00:00;26.814488441290916;64.98410518552427
parc des rives;2025-08-11 22:00:00;25.911917296101322;68.26403194221918
parc des rives;2025-08-11 23:00:00;25.317235065232317;69.26283665217059
parc des rives;2025-08-12 00:00:00;22.58175020981155;77.43831540398261
parc des rives;2025-08-12 01:00:00;21.546374710714378;77.67198189262734
parc des rives;2025-08-12 02:00:00;20.60143434805829;80.95033188372625
parc des rives;2025-08-12 03:00:00;19.605490704712498;84.23590447852293
parc des rives;2025-08-12 04:00:00;18.910760153607484;85.67025253681238
parc des rives;2025-08-12 05:00:00;18.421199867755142;86.97617049413799
parc des rives;2025-08-12 06:00:00;18.146155998067194;87.90824241499452
parc des rives;2025-08-12 07:00:00;19.103913939116502;84.59550876122174
parc des rives;2025-08-12 08:00:00;21.510948348210878;75.99298084992752
parc des rives;2025-08-12 09:00:00;24.43923094529641;67.49523155565728
parc des rives;2025-08-12 10:00:00;24.19089036392768;73.27840085450522
pierre de savoie;2025-05-06 17:00:00;23.303451082118972;40.08239871824216
pierre de savoie;2025-05-06 18:00:00;23.332379644464794;40.035604384425625
pierre de savoie;2025-05-06 19:00:00;23.347956562650996;39.95600315353119
pierre de savoie;2025-05-06 20:00:00;23.341280740571193;39.910480404872715
pierre de savoie;2025-05-06 21:00:00;23.301225808092372;39.8247755652196
pierre de savoie;2025-05-06 22:00:00;23.27096208133059;39.76882581826505
pierre de savoie;2025-05-06 23:00:00;23.237582970931566;39.72594796673533
pierre de savoie;2025-05-07 00:00:00;23.204470893415735;39.67589837491417
pierre de savoie;2025-05-07 01:00:00;23.20019836728466;39.62157625696193
pierre de savoie;2025-05-07 02:00:00;23.170379695328197;39.59614455380077
pierre de savoie;2025-05-07 03:00:00;23.142341242593016;39.5618117545332
pierre de savoie;2025-05-07 04:00:00;23.108517077388672;39.519595127285676
pierre de savoie;2025-05-07 05:00:00;23.08270389868009;39.50967676305282
pierre de savoie;2025-05-07 06:00:00;23.059561048803435;39.47280079346914
pierre de savoie;2025-05-07 07:00:00;23.022176445156532;39.46186516110984
pierre de savoie;2025-05-07 08:00:00;23.05546654459449;39.486686503395134
pierre de savoie;2025-05-07 09:00:00;23.205539024948504;39.536888685435265
pierre de savoie;2025-05-07 10:00:00;23.34217085018184;39.48551664504972
pierre de savoie;2025-05-07 11:00:00;23.448538948653393;39.476615548943315
pierre de savoie;2025-05-07 12:00:00;23.521972991531243;39.47254647643753
pierre de savoie;2025-05-07 13:00:00;23.608313623763383;39.45728745454083
pierre de savoie;2025-05-07 14:00:00;23.654599323516702;39.414816510261694
pierre de savoie;2025-05-07 15:00:00;23.65771470715394;39.378449174741235
pierre de savoie;2025-05-07 16:00:00;23.619885048701715;39.324788281071186
pierre de savoie;2025-05-07 17:00:00;23.57760484219628;39.2680755830218
pierre de savoie;2025-05-07 18:00:00;23.53612573434043;39.26878767071031
pierre de savoie;2025-05-07 19:00:00;23.497940032043946;39.24366114798708
pierre de savoie;2025-05-07 20:00:00;23.448538948653393;39.24376287479973
pierre de savoie;2025-05-07 21:00:00;23.39847028305486;39.2309452964065
pierre de savoie;2025-05-07 22:00:00;23.317247781083896;39.209074031687905
pierre de savoie;2025-05-07 23:00:00;23.24826428625925;39.218738078889146
pierre de savoie;2025-05-08 00:00:00;23.18484397650111;39.23170824750134
pierre de savoie;2025-05-08 01:00:00;23.117863228300397;39.21492332341497
pierre de savoie;2025-05-08 02:00:00;23.05132753490501;39.225223163195245
pierre de savoie;2025-05-08 03:00:00;22.98924238956283;39.24518705017675
pierre de savoie;2025-05-08 04:00:00;22.91447318226901;39.26349787645279
pierre de savoie;2025-05-08 05:00:00;22.854390783550777;39.23170824750134
pierre de savoie;2025-05-08 06:00:00;22.781846850283568;39.27163602146436
pierre de savoie;2025-05-08 07:00:00;22.79364080262455;39.29541466392005
pierre de savoie;2025-05-08 08:00:00;22.813445741461305;39.31614150199639
pierre de savoie;2025-05-08 09:00:00;22.847180895704586;39.345387960631726
pierre de savoie;2025-05-08 10:00:00;22.93583581292439;39.378576333257044
pierre de savoie;2025-05-08 11:00:00;23.012830294244807;39.40464382899723
pierre de savoie;2025-05-08 12:00:00;23.168154421301594;39.422293430991076
pierre de savoie;2025-05-08 13:00:00;23.275412629383794;39.442028432644136
pierre de savoie;2025-05-08 14:00:00;23.39646753643092;39.45194679687699
pierre de savoie;2025-05-08 15:00:00;23.54467078660258;39.46364538033112
pierre de savoie;2025-05-08 16:00:00;23.691983927163605;39.475089646753645
pierre de savoie;2025-05-08 17:00:00;23.79256631316599;39.43516187279062
